usage_score,interaction_score,self_reg_risk,Scroll_Rate,Self_Control,Video_Category_ASMR,Video_Category_Comedy,Video_Category_Entertainment,Video_Category_Gaming,Video_Category_Jokes/Memes,Video_Category_Life Hacks,Video_Category_Pranks,Video_Category_Trends,Video_Category_Vlogs,Watch_Reason_Boredom,Watch_Reason_Entertainment,Watch_Reason_Habit,Watch_Reason_Procrastination,Addiction_Level,ProductivityLoss
0.07222088225917585,1.1311360078002246,0.005390760996051069,1.2755970971906172,-1.0177570754726546,0,0,0,0,0,0,1,0,0,0,0,0,1,5,3
0.6881394085842603,0.09810535954135341,-0.009213633989558153,-0.12932099728139984,-0.04568728036983278,0,0,0,0,0,0,1,0,0,0,0,1,0,3,5
-1.1648197497778712,1.2869957710116489,-0.01651583148236277,1.3098633921777396,0.44034761718157817,0,0,0,0,0,0,0,0,1,0,1,0,0,2,6
0.7312800323295915,0.3073717468888771,0.005390760996051069,1.4811948671133515,-1.0177570754726546,0,0,0,0,0,0,0,0,1,0,0,1,0,5,3
-0.4109299766069461,-1.1115854490811865,-0.031120226467971968,-1.5685053867405392,1.4124174122844,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
0.027326900415678534,0.4062718211161164,0.005390760996051069,-0.40345135717837877,-1.0177570754726546,0,0,0,0,1,0,0,0,0,0,1,0,0,5,3
-0.055741934371345815,0.6064837562152402,-0.031120226467971968,0.45320601749968037,1.4124174122844,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8
0.33053874408239453,0.4446060954138507,0.005390760996051069,-0.71184801206248,-1.0177570754726546,0,0,1,0,0,0,0,0,0,0,1,0,0,5,3
-0.5173096187565812,0.22857955221721749,0.005390760996051069,-1.0545109619337036,-1.0177570754726546,0,0,0,0,0,0,0,0,1,0,1,0,0,5,3
0.44631248424551906,1.5341939932973456,-0.01651583148236277,1.4126622771391066,0.44034761718157817,1,0,0,0,0,0,0,0,0,1,0,0,0,2,6
-0.38524904342341865,-0.14450928508815178,-0.009213633989558153,-0.71184801206248,-0.04568728036983278,0,0,0,0,0,0,1,0,0,1,0,0,0,3,5
0.7609719200874708,-0.5044762607370534,-0.01651583148236277,-0.5062502421397459,0.44034761718157817,0,0,0,0,0,1,0,0,0,0,0,1,0,2,6
0.7563593832069015,0.6915192546048325,-0.009213633989558153,0.6930700824095369,-0.04568728036983278,0,0,0,1,0,0,0,0,0,0,0,1,0,3,5
-1.2964880534068124,-0.8169983862688467,-0.01651583148236277,-0.9174457819852143,0.44034761718157817,0,0,0,0,0,0,0,0,1,0,1,0,0,2,6
